customer_id,customer_name,email,registration_date,customer_type
C0001,Allison Hill,donaldgarcia@example.net,2026-06-05 03:08:38,REGULAR
C0002,Leslie Johnson,robinsonwilliam@example.org,2025-09-21 02:04:39,REGULAR
C0003,Matthew Gardner,shaneramirez@example.org,2026-02-21 12:54:21,REGULAR
C0004,Melissa Peterson,jasongallagher@example.org,2024-09-22 04:37:09,REGULAR
C0005,Ian Cooper,lindsay78@example.org,2026-06-28 12:32:35,REGULAR
C0006,Juan Calderon,barbara10@example.net,2025-01-05 04:02:35,REGULAR
C0007,Victoria Wyatt,jamesshawn@example.com,2024-11-15 11:48:12,REGULAR
C0008,Daniel Adams,lynchgeorge@example.net,2025-01-18 07:19:04,REGULAR
C0009,James Mayo,gabriellecameron@example.org,2025-01-06 01:28:36,REGULAR
C0010,Renee Morales,clarksherri@example.net,2025-03-13 13:43:56,REGULAR
C0011,Jonathan Wilkerson,ithomas@example.org,2026-02-10 19:18:45,REGULAR
C0012,Deborah Richards,icox@example.net,2025-07-30 11:30:48,REGULAR
C0013,Anthony Rodriguez,laurahenderson@example.org,2025-05-07 00:17:38,REGULAR
C0014,Zachary Rice,frazierdanny@example.net,2026-02-15 09:05:17,REGULAR
C0015,Martin Rodriguez,amoore@example.net,2026-05-23 10:47:36,REGULAR
C0016,Valerie Gill,harrellkenneth@example.net,2025-08-10 11:14:00,PREMIUM
C0017,Brittany Farmer,georgetracy@example.org,2026-07-03 19:21:53,VIP
C0018,William Roman,brianhumphrey@example.org,2024-09-16 16:24:26,REGULAR
C0019,Rose Spence,davidalvarez@example.net,2024-11-17 09:54:03,REGULAR
C0020,Shane Henderson,sarahcampos@example.net,2024-12-15 09:26:20,REGULAR
C0021,Jennifer Powers,samuel87@example.org,2025-01-20 17:00:25,REGULAR
C0022,George Chapman,briannasmith@example.net,2025-11-14 08:19:23,REGULAR
C0023,Austin Johnson,chad34@example.net,2025-07-24 04:29:36,REGULAR
C0024,Carlos Walls,esanchez@example.com,2024-12-07 01:12:34,REGULAR
C0025,Matthew Gomez,uowens@example.org,2025-12-17 04:08:10,REGULAR
C0026,Maria Brown,lauren13@example.org,2024-12-06 21:27:44,REGULAR
C0027,Brenda White,ewright@example.com,2026-03-31 18:20:15,VIP
C0028,Krista Williams,novaksara@example.org,2024-11-18 07:58:30,REGULAR
C0029,John Hancock,martinaaron@example.com,2025-02-03 03:27:16,PREMIUM
C0030,Rachel Mitchell,smoore@example.org,2024-08-26 13:55:08,REGULAR
C0031,Kimberly Adkins,williamsthomas@example.net,2024-11-11 10:28:12,REGULAR
C0032,Jordan York,larsonemma@example.org,2025-05-21 18:37:59,REGULAR
C0033,Steve Sanchez,harveyrobert@example.net,2025-09-24 04:18:17,PREMIUM
C0034,Taylor Harris,john62@example.net,2025-11-25 12:43:05,REGULAR
C0035,Eugene Walton,smithchristine@example.net,2024-09-27 19:29:49,REGULAR
C0036,Daniel Baker,nicole35@example.com,2024-11-11 16:19:31,VIP
C0037,Joshua Turner,contrerasangela@example.net,2024-09-30 14:42:13,REGULAR
C0038,Brandy Wilson,newtoneric@example.com,2025-10-24 22:33:23,REGULAR
C0039,Grant Watts,william40@example.org,2025-11-16 19:37:49,REGULAR
C0040,Donald Smith,danagreen@example.net,2025-06-20 08:07:20,REGULAR
C0041,Jessica Smith,landryhannah@example.org,2025-09-08 22:15:05,REGULAR
C0042,Jacob Tran,tanderson@example.com,2026-06-10 09:56:27,PREMIUM
C0043,Valerie Williams,jason31@example.com,2026-03-10 02:07:55,REGULAR
C0044,Shelly Dickson,sarayoung@example.org,2026-03-25 10:41:10,REGULAR
C0045,Sierra Johnson,kimberly63@example.com,2024-11-12 19:22:27,REGULAR
C0046,Ashley Brennan,dwalker@example.com,2025-03-06 04:52:53,REGULAR
C0047,Shelby Walker,raymondramirez@example.org,2026-03-04 19:33:53,REGULAR
C0048,Martin Ross,sheila14@example.org,2025-10-06 02:41:18,REGULAR
C0049,Deborah Rodriguez,yreed@example.com,2025-06-16 02:40:58,REGULAR
C0050,Kayla Cruz,jonathanfletcher@example.org,2025-08-19 23:43:44,PREMIUM
C0051,Kimberly Ball,michaeljones,2025-08-10 01:09:36,REGULAR
C0052,Jason Powell,angela36@example.net,2026-07-12 13:21:38,REGULAR
C0053,Paul Thompson,richard04@example.com,2024-12-22 09:48:02,REGULAR
C0054,Kevin Pena,rramos@example.org,2025-08-13 04:41:07,REGULAR
C0055,Steven Flynn,donnacampbell@example.net,2025-11-15 18:35:02,PREMIUM
C0056,Anna Crane,emilywalker@example.org,2024-11-03 14:35:18,REGULAR
C0057,David Alvarez,gibsonolivia@example.net,2024-12-10 04:14:48,VIP
C0058,Janet Ross,dianasmith@example.org,2026-03-08 18:31:10,REGULAR
C0059,Christopher Rubio,pwilliams@example.org,2025-07-01 16:46:35,REGULAR
C0060,John Schmidt,stephanie79@example.net,2026-06-05 00:10:29,PREMIUM
C0061,Sandra Kelley,juliawells@example.com,2026-02-16 01:50:47,PREMIUM
C0062,Mark Cannon,rsims@example.com,2024-09-10 08:06:20,REGULAR
C0063,Cynthia Rogers,taylorjesse@example.net,2024-11-07 20:12:28,REGULAR
C0064,Amy Russell,nperry@example.com,2025-05-10 16:05:07,PREMIUM
C0065,Lauren Dominguez,wwoods@example.com,2026-02-17 09:30:20,REGULAR
C0066,Steven Houston,tracynelson@example.com,2024-08-03 16:46:23,PREMIUM
C0067,Michael Yates,marycalhoun@example.net,2025-08-31 00:29:51,REGULAR
C0068,James Elliott,millerroy@example.com,2024-11-30 07:23:09,REGULAR
C0069,James Lewis,matthew64@example.com,2025-01-24 02:23:36,PREMIUM
C0070,Julie Curry,cookemichael@example.net,2024-09-03 10:51:01,REGULAR
C0071,Marissa Webster,jamessmith@example.org,2025-01-13 10:30:41,REGULAR
C0072,Michael Elliott,stevenscott@example.com,2024-11-19 11:31:39,REGULAR
C0073,Tracey Higgins,tamirodriguez@example.org,2026-07-03 15:25:23,REGULAR
C0074,Michael Rubio,mdavid@example.org,2025-10-15 01:12:55,REGULAR
C0075,Lori Garcia,melissa91@example.net,2026-03-12 01:05:30,VIP
C0076,Joseph Stanley,huntermatthew@example.com,2026-04-11 21:04:14,REGULAR
C0077,Jeffrey Cox PhD,bzimmerman@example.org,2026-02-02 02:38:50,REGULAR
C0078,Marie Gilbert,umarshall@example.net,2025-02-05 14:58:00,REGULAR
C0079,David Michael,nicole37@example.net,2025-10-29 05:07:08,REGULAR
C0080,Gabrielle Snyder,hunter35@example.com,2025-04-02 12:05:14,REGULAR
C0081,Kyle Beard,blackjames@example.org,2026-01-22 10:52:33,REGULAR
C0082,Justin Allen,fbrewer@example.com,2026-03-20 01:03:05,PREMIUM
C0083,Edward Sullivan,kevinperkins@example.com,2025-09-15 01:11:42,REGULAR
C0084,Jessica Reese,michael74@example.com,2025-01-23 10:12:56,REGULAR
C0085,Nathan Stewart,jamesrodgers@example.com,2026-01-25 22:57:17,VIP
C0086,Paige Carlson,wallkenneth@example.com,2024-11-28 12:44:39,REGULAR
C0087,Michael Martinez,mccannangela@example.net,2024-10-18 05:43:54,PREMIUM
C0088,Nicole Garcia,andrewstaylor@example.com,2025-04-02 18:55:49,REGULAR
C0089,Anthony Everett,ewilson@example.com,2025-07-29 02:31:54,REGULAR
C0090,Mark Brown,lisaavery@example.org,2025-01-20 22:19:34,PREMIUM
C0091,Phillip Obrien,kimberlyjames@example.com,2025-02-28 02:46:31,VIP
C0092,Wanda Torres,lynchjody@example.org,2025-11-10 00:09:24,REGULAR
C0093,Matthew Moore,andreamoore@example.com,2025-06-27 01:42:32,PREMIUM
C0094,Julie Johnson,jasmine71@example.net,2025-01-09 11:02:47,REGULAR
C0095,Rachel Weber,ronaldstephens@example.net,2024-11-04 21:04:30,REGULAR
C0096,Samantha Jones,lauralarson@example.net,2026-06-27 15:59:05,REGULAR
C0097,Caleb Barker,gbender@example.net,2025-07-30 16:43:17,REGULAR
C0098,Kyle Preston,cassandra01@example.org,2025-12-17 21:32:38,REGULAR
C0099,Laura Sampson,barbara27@example.net,2025-11-30 04:43:42,VIP
C0100,Donald Shea,fwalters@example.org,2025-07-12 05:20:24,VIP
C0101,Gary Santiago,marksteele@example.com,2025-12-08 19:09:49,PREMIUM
C0102,Robin Pierce,qmiller@example.com,2024-10-10 04:38:47,REGULAR
C0103,Jennifer Robertson,sandovalamy@example.com,2024-08-23 06:08:55,REGULAR
C0104,Isaiah Avila,nwolf@example.com,2025-09-11 17:54:27,REGULAR
C0105,Dwayne Gilmore,omartinez@example.net,2026-03-24 23:59:57,REGULAR
C0106,Christopher Pierce,hdavis@example.com,2024-10-11 09:26:20,REGULAR
C0107,Brittany Cantu,william46@example.com,2025-07-13 22:31:34,VIP
C0108,Juan Reyes,michellehill@example.com,2025-04-02 03:26:42,REGULAR
C0109,Katie Hoover,jessica99@example.net,2025-07-27 11:16:08,REGULAR
C0110,Jill Washington,andrea86@example.com,2026-07-06 17:20:16,VIP
C0111,Colin Terry,xhall@example.com,2024-08-15 01:21:21,REGULAR
C0112,John Mcintyre,qhughes@example.net,2024-11-07 07:09:36,REGULAR
C0113,Andrew Shaw MD,sawyerscott@example.net,2026-06-19 07:34:27,REGULAR
C0114,Nathan Ortiz,charlesharrington@example.com,2025-04-01 02:57:00,REGULAR
C0115,Jennifer Miller,melissa86@example.com,2025-11-11 00:05:41,REGULAR
C0116,Olivia Brennan,williamsonjimmy@example.net,2026-06-27 11:04:26,REGULAR
C0117,Darren Davis,hodgesjane@example.org,2025-06-21 18:28:44,REGULAR
C0118,Elijah Johnson,laura45@example.com,2025-06-11 16:17:42,PREMIUM
C0119,Joseph Knight,georgemiller@example.com,2025-11-05 11:56:59,REGULAR
C0120,Kathleen Aguilar,stevenking@example.com,2025-12-12 02:31:24,REGULAR
C0121,Robert Santana,charleslandry@example.net,2025-03-01 12:21:02,REGULAR
C0122,Jessica Wright,james67@example.org,2025-01-12 09:32:46,REGULAR
C0123,Ian Phillips,andrew64@example.org,2025-09-24 17:23:34,REGULAR
C0124,Paula Beltran,swall@example.org,2025-10-26 16:13:23,REGULAR
C0125,Colleen Lee,erica21@example.net,2025-11-26 04:22:25,REGULAR
C0126,Richard Johnson,jessica14@example.com,2026-02-12 17:45:52,REGULAR
C0127,Curtis Buchanan,alyssa42@example.com,2026-06-22 02:49:07,VIP
C0128,Karen Drake,linda71@example.org,2026-02-17 22:06:50,REGULAR
C0129,Shannon Ramsey,zcoffey@example.net,2025-04-22 06:15:09,REGULAR
C0130,James Baker,gibsonemily@example.net,2025-01-31 18:45:15,PREMIUM
C0131,Samantha Bentley,leonardthomas@example.net,2026-05-29 23:02:36,REGULAR
C0132,Erin Bishop,reidsteven@example.net,2025-03-03 20:56:40,PREMIUM
C0133,Audrey Williams,torrestravis@example.org,2025-01-10 12:42:04,REGULAR
C0134,Brandy Chavez,umatthews@example.org,2026-05-30 21:01:14,REGULAR
C0135,Brett Burns,vaughnjeff@,2025-06-22 13:26:34,VIP
C0136,Savannah Garcia,amy50@example.com,2025-02-11 10:30:51,PREMIUM
C0137,Bryan Charles,ndavis@example.net,2025-11-20 20:43:24,PREMIUM
C0138,Alison Buchanan,vanessabuchanan@example.org,2024-09-03 10:41:50,REGULAR
C0139,Kristen Willis,markhernandez@example.net,2024-07-14 08:34:11,REGULAR
C0140,William Huerta,lauren10@example.org,2024-07-23 16:43:40,REGULAR
C0141,Richard Chapman,thompsonbrian@example.net,2025-06-04 02:59:05,REGULAR
C0142,Nichole Alvarez,william17@example.net,2024-12-31 05:41:53,VIP
C0143,Amanda Logan,stephen00@example.com,2026-05-01 06:30:03,REGULAR
C0144,Michael Henry,fjones@example.com,2025-10-27 15:11:50,REGULAR
C0145,Cameron Weber,oscar98@example.com,2025-06-29 13:34:47,REGULAR
C0146,Jessica Mcguire,farrelldebra@example.net,2026-01-23 01:08:28,REGULAR
C0147,Jessica Beasley,dmorgan@example.com,2025-05-31 06:19:13,PREMIUM
C0148,Emily Edwards,nicholas27@example.org,2024-09-21 00:15:52,REGULAR
C0149,Anna Davis,lisa80@example.net,2025-09-21 08:26:27,REGULAR
C0150,Meagan Jenkins,uparrish@example.org,2025-02-20 13:30:43,REGULAR
C0151,Heather Lane,ericolson@example.org,2025-04-10 02:18:33,REGULAR
C0152,Holly Farmer,lindsaybruce@example.net,2025-10-31 17:32:46,REGULAR
C0153,Kristin Lynch,anthony44@example.com,2025-04-10 19:15:44,VIP
C0154,Sergio Knight,vjones@example.net,2024-08-04 23:12:05,REGULAR
C0155,Joseph Bennett,xpeterson@example.com,2026-01-23 15:14:07,REGULAR
C0156,Todd Carlson,moorekaren@example.org,2025-12-17 15:23:56,REGULAR
C0157,Jeremy Coleman,nperry@example.net,2024-10-08 13:25:25,PREMIUM
C0158,Brian Gregory,trose@example.org,2024-12-30 10:28:23,PREMIUM
